,question_text,option_A,option_B,option_C,option_D,answer,explanation,option_E
0,Who amongst the following had called Rabindranath Tagore as THE GREAT SENTINEL?,Abul Kalam Azad,Mahatma Gandhi,Dr. Rajendra Prasad,Subhash Chandra Bose,Mahatma Gandhi,"Mahatma Gandhi amongst the following had called Rabindranath Tagore as THE GREAT SENTINEL. Rabindranath Tagore was a key figure of the Bengal Renaissance. He started writing at an early age and by the turn of the century had become a household name in Bengal as a poet, a songwriter, a playwright, an essayist, a short story writer and a novelist. In 1913 he was awarded the Nobel Prize for Literature and his verse collection Gitanjali came to be known internationally. At about the same time he founded Visva-Bharati, a university located in Santiniketan, near Kolkata. Called the ‘Great Sentinel’ of modern India by Mahatma Gandhi, Tagore steered clear of active politics but is famous for returning his knighthood as a gesture of protest against the Jallianwala Bagh massacre in 1919.",
1,"Grand Central Terminal, Park Avenue, New York is the world's",highest railway station,longest railway station,largest railway station,None of the above,largest railway station,"Grand Central Terminal, Park Avenue, New York is the world's largest railway station. GCT is the largest train station in the world in terms of area occupied and number of platforms. The terminal is spread over 49 acres and has 44 platforms.",
2,Entomology is the science that studies,The origin and history of technical and scientific terms,Behavior of human beings,Insects,The formation of rocks,Insects,"Entomology is the science that studies insects. Entomologists have many important jobs, such as the study of the classification, life cycle, distribution, physiology, behavior, ecology and population dynamics of insects.",None of these
3,"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Africa,Australia,Europe,Asia,Africa,"Eritrea is a northeast African country on the Red Sea coast. It shares borders with Ethiopia, Sudan and Djibouti. The capital city, Asmara, is known for its Italian colonial buildings, like St. Joseph's Cathedral, as well as art deco structures. Italian, Egyptian and Turkish architecture in Massawa reflect the port city's colorful history. Notable buildings here include St. Mariam Cathedral and the Imperial Palace.",None of these
4,Garampani sanctuary is located at,"Gangtok, Sikkim","Kohima, Nagaland","Diphu, Assam","Junagarh, Gujarat","Diphu, Assam","Garampani sanctuary is located at Diphu, Assam. It is one of the oldest sanctuaries containing hot water spring and waterfalls and surrounded by Nambor Sanctuary having 51 rare species of orchid.",
5,For which of the following disciplines is Nobel Prize awarded?,"Literature, Peace and Economics",Physics and Chemistry,Physiology or Medicine,All of the above,All of the above,"For Literature, Peace and Economics, Physics and Chemistry and Physiology or Medicine of the following disciplines the Nobel Prize is awarded.",
6,Hitler party which came into power in 1933 is known as,Ku-Klux-Klan,Democratic Party,Labour Party,Nazi Party,Nazi Party,"Hitler party which came into power in 1933 is known as Nazi Party. Under the leadership of Adolf Hitler (1889-1945), the National Socialist German Workers’ Party, or Nazi Party, grew into a mass movement and ruled Germany through totalitarian means from 1933 to 1945. Founded in 1919 as the German Workers’ Party, the group promoted German pride and anti-Semitism, and expressed dissatisfaction with the terms of the Treaty of Versailles, the 1919 peace settlement that ended World War I (1914-1918) and required Germany to make numerous concessions and reparations.",
7,FFC stands for,Federation of Football Council,Film Finance Corporation,Foreign Finance Corporation,None of the above,Film Finance Corporation,"FFC stands for Film Finance Corporation. FFC, is India's state funding body for films. The 1927 Indian Cinematograph Committee recommended such a state-sponsored agency in its Report of the Indian Cinematograph Committee.",
8,Fastest shorthand writer was,Dr. G. D. Bist,J.M. Tagore,Khudada Khan,J.R.D. Tata,Dr. G. D. Bist,Fastest shorthand writer was Dr. G. D. Bist.,
9,Epsom (England) is the place associated with,Shooting,Horse racing,Polo,Snooker,Horse racing,"Epsom (England) is the place associated with Horse racing. Epsom is a market town in Surrey, England, 22.0 km south-west of London. Epsom Downs Racecourse holds The Derby, now a generic name for sports competitions in English-speaking countries. The town also gives its name to Epsom salts, extracted from mineral waters there.",
10,"First human heart transplant operation conducted by Dr. Christian Bernard on Louis Washkansky, was conducted in",1958,1922,1967,1968,1967,Louis Washkansky (1913 - 21 December 1967) was the recipient of the world's first human heart transplant.Washkansky died of double pneumonia eighteen days after the transplant because of a weakened immune system.,
11,Galileo was an Italian astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,All of the above,"Galileo was an Italian astronomer who developed the telescope, discovered four satellites of Jupiter and discovered that the movement of pendulum produces a regular time measurement. Galileo was an Italian astronomer, mathematician, physicist, philosopher and professor who made pioneering observations of nature with long-lasting implications for the study of physics. He also constructed a telescope and supported the Copernican theory, which supports a sun-centered solar system.",
12,Habeas Corpus Act 1679,provided facilities to a prisoner to obtain either speedy trial or release in bail,states that no one was to be imprisoned without a writ or warrant stating the charge against him,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,All of the above,"Habeas Corpus Act 1679 provided facilities to a prisoner to obtain either speedy trial or release in bail, states that no one was to be imprisoned without a writ or warrant stating the charge against him and safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders.",
13,Exposure to sunlight helps a person improve his health because,resistance power increases,the infrared light kills bacteria in the body,the ultraviolet rays convert skin oil into Vitamin D,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D,Exposure to sunlight helps a person improve his health because the ultraviolet rays convert skin oil into Vitamin D.,
14,Golf player Vijay Singh belongs to which country?,India,Fiji,UK,USA,Fiji,"Golf player Vijay Singh belongs to Fiji. He was born in 1963, who was number 1 in the Official World Golf Ranking for 32 weeks in 2004 and 2005. He was nicknamed as ""The Big Fijian"", has won three major Golf Championships.",
